date,symbol,dt_last_refreshed,timezone,open,high,low,close,volume,daily_change,intraday_return_pct,daily_return_pct,cumulative_return_pct,intraday_volatility_abs,volatility_ratio,intraday_volatility_pct,volume_change_pct,moving_avg_7d,moving_avg_30d
2021-07-30,VXX,2026-05-08,US/Eastern,30.69,32.43,29.28,30.21,128041565,-0.48,-1.56,-0.4,-69.08,3.14,0.1,10.25,-31.42,30.47,24.21
2021-08-06,VXX,2026-05-08,US/Eastern,29.88,31.71,28.26,28.3,106464677,-1.58,-5.29,-6.32,-71.03,3.45,0.12,11.55,-16.85,29.55,24.61
2021-08-13,VXX,2026-05-08,US/Eastern,28.23,28.55,25.76,26.28,93317245,-1.95,-6.91,-7.14,-73.1,2.8,0.11,9.9,-12.35,29.14,24.92
2021-08-20,VXX,2026-05-08,US/Eastern,26.93,30.9,26.32,27.76,230921812,0.83,3.08,5.63,-71.59,4.58,0.16,17.01,147.46,28.98,25.29
2021-08-27,VXX,2026-05-08,US/Eastern,26.99,27.58,25.65,25.85,117958954,-1.14,-4.22,-6.88,-73.54,1.93,0.07,7.15,-48.92,28.47,25.45
2021-09-03,VXX,2026-05-08,US/Eastern,25.54,25.97,24.51,24.94,105895204,-0.6,-2.35,-3.52,-74.47,1.46,0.06,5.72,-10.23,27.67,25.74
2021-09-10,VXX,2026-05-08,US/Eastern,25.12,27.22,24.92,27.06,118034936,1.94,7.72,8.5,-72.3,2.3,0.08,9.16,11.46,27.2,26.11
2021-09-17,VXX,2026-05-08,US/Eastern,25.89,27.31,24.9,26.81,202948070,0.92,3.55,-0.92,-72.56,2.4,0.09,9.29,71.94,26.71,26.5
2021-09-24,VXX,2026-05-08,US/Eastern,28.92,32.41,24.53,24.58,292238562,-4.34,-15.01,-8.32,-74.84,7.88,0.32,27.25,44.0,26.18,26.79
2021-10-01,VXX,2026-05-08,US/Eastern,24.74,28.32,24.37,26.82,249424783,2.08,8.41,9.11,-72.55,3.95,0.15,15.99,-14.65,26.26,27.18
2021-10-08,VXX,2026-05-08,US/Eastern,26.85,28.5,24.6,24.79,201852608,-2.06,-7.67,-7.57,-74.63,3.9,0.16,14.53,-19.07,25.84,27.54
2021-10-15,VXX,2026-05-08,US/Eastern,25.0,25.19,22.18,22.79,153431944,-2.21,-8.84,-8.07,-76.67,3.01,0.13,12.04,-23.99,25.4,27.87
2021-10-22,VXX,2026-05-08,US/Eastern,23.15,23.21,21.06,21.7,134201604,-1.45,-6.26,-4.78,-77.79,2.15,0.1,9.29,-12.53,24.94,28.21
2021-10-29,VXX,2026-05-08,US/Eastern,21.5,22.04,20.79,21.44,141049991,-0.06,-0.28,-1.2,-78.06,1.25,0.06,5.81,5.1,24.13,28.55
2021-11-05,VXX,2026-05-08,US/Eastern,21.24,21.9,19.47,20.83,150546874,-0.41,-1.93,-2.85,-78.68,2.43,0.12,11.44,6.73,23.28,28.9
