sector,source,year,region,m49_code,country,food_service_kg_per_capita_year,food_service_tonnes_year,confidence_in_estimate
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,624,Guinea-Bissau,31,65700,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,404,Kenya,31,1682356,Medium Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,426,Lesotho,31,71927,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,430,Liberia,31,165028,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,450,Madagascar,31,921980,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,454,Malawi,31,635515,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,466,Mali,31,703395,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,478,Mauritania,31,147591,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,480,Mauritius,31,40194,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,175,Mayotte,23,7530,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,508,Mozambique,31,1026601,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,516,Namibia,31,79461,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,562,Niger,31,816112,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,566,Nigeria,31,6804776,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,638,Réunion,23,22133,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,646,Rwanda,31,429074,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,654,Saint Helena,23,228,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,678,Sao Tome and Principe,31,7162,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,686,Senegal,31,539300,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,690,Seychelles,26,2845,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,694,Sierra Leone,31,268093,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,706,Somalia,31,548019,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,710,South Africa,31,1851727,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,728,South Sudan,31,339709,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,768,Togo,31,275566,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,800,Uganda,31,1471244,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,834,United Rep. of Tanzania,31,2039502,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,894,Zambia,31,623371,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,716,Zimbabwe,31,508163,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Western Asia,51,Armenia,29,81737,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Western Asia,31,Azerbaijan,29,304604,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Western Asia,48,Bahrain,24,35788,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Western Asia,196,Cyprus,30,37500,Eurostat
